timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/01/03 15:40:26.849, NVIDIA GeForce RTX 4090, 66 %, 64 %, 17455 MiB, 259.06 W
2026/01/03 15:40:27.854, NVIDIA GeForce RTX 4090, 89 %, 19 %, 17836 MiB, 278.81 W
2026/01/03 15:40:28.861, NVIDIA GeForce RTX 4090, 97 %, 40 %, 17949 MiB, 313.44 W
2026/01/03 15:40:29.864, NVIDIA GeForce RTX 4090, 79 %, 76 %, 17951 MiB, 274.68 W
2026/01/03 15:40:30.865, NVIDIA GeForce RTX 4090, 68 %, 50 %, 17497 MiB, 256.77 W
2026/01/03 15:40:31.867, NVIDIA GeForce RTX 4090, 97 %, 40 %, 17937 MiB, 309.06 W
2026/01/03 15:40:32.875, NVIDIA GeForce RTX 4090, 96 %, 39 %, 18004 MiB, 288.98 W
2026/01/03 15:40:33.878, NVIDIA GeForce RTX 4090, 90 %, 74 %, 17955 MiB, 286.28 W
2026/01/03 15:40:34.880, NVIDIA GeForce RTX 4090, 77 %, 41 %, 17843 MiB, 269.04 W
2026/01/03 15:40:35.882, NVIDIA GeForce RTX 4090, 97 %, 40 %, 17955 MiB, 312.56 W
2026/01/03 15:40:36.886, NVIDIA GeForce RTX 4090, 64 %, 33 %, 17838 MiB, 264.55 W
2026/01/03 15:40:40.817, NVIDIA GeForce RTX 4090, 97 %, 19 %, 17950 MiB, 299.24 W
2026/01/03 15:40:41.819, NVIDIA GeForce RTX 4090, 81 %, 78 %, 17945 MiB, 293.94 W
2026/01/03 15:40:42.821, NVIDIA GeForce RTX 4090, 68 %, 4 %, 17937 MiB, 268.26 W
2026/01/03 15:40:43.824, NVIDIA GeForce RTX 4090, 92 %, 71 %, 17955 MiB, 313.90 W
2026/01/03 15:40:44.827, NVIDIA GeForce RTX 4090, 81 %, 78 %, 17405 MiB, 283.51 W
